url,team,contingent,sport,FinalPosition
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=6e2caead-a02f-4d4e-b72b-c83b1b4727b1&SetLanguage=en-CA,AB,Alberta,Speed Skating Long Track - Team Pursuit Male,Gold
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=d2dfde4e-3753-4f06-ad4e-2e3ec4f670ae&SetLanguage=en-CA,BC,British Columbia,Table Tennis Doubles Male,Silver
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=293e6863-c874-4e84-94df-233eface2fd0&SetLanguage=en-CA,Arseneault/GIllies,New Brunswick,Badminton Doubles Female,5
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=619a6ac8-a48d-48d8-a07f-0585338b422a&SetLanguage=en-CA,AB-A,Alberta,Cross Country Skiing Relay Mix,Bronze
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=c0f30d42-f426-4f5e-987a-1625435a1809&SetLanguage=en-CA,Bauer/Lee,Alberta,Badminton Doubles Male,Gold
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=02873632-e3ef-46a8-94e9-bcdf69bd7caa&SetLanguage=en-CA,Ashevak/Kilabuk,Nunavut,Badminton Doubles Female,9
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=9443e56e-05e1-4824-bd53-20ceca911668&SetLanguage=en-CA,AB-B,Alberta,Cross Country Skiing Relay Mix,7
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=d005442e-7361-4d40-b366-1a6c98b044e7&SetLanguage=en-CA,BC,British Columbia,Biathlon 3 x 6 km Relay Female,Bronze
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=c43b61bf-45f8-479e-bbc8-0433f471276e&SetLanguage=en-CA,BC,British Columbia,Archery Compound - Team Mix,8
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=02cc9d24-fc37-4d68-bd74-12b7a1a643d5&SetLanguage=en-CA,BC,British Columbia,Gymnastics Trampoline - Synchro Male,6
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=a90fee6a-f69c-4e7b-b0cc-0c96ae20c5cb&SetLanguage=en-CA,BC,British Columbia,Table Tennis Team Male,Bronze
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=bcac90a4-a956-4aed-b58f-395d49959c20&SetLanguage=en-CA,BC,British Columbia,Speed Skating Long Track - Team Pursuit Female,Bronze
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=c6a4cea9-ab25-40c8-9e87-397f188c6a13&SetLanguage=en-CA,BC,British Columbia,Gymnastics Artistic - Team Event Female,4
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=80053008-d5f7-47d0-8c8d-48a943c5fe64&SetLanguage=en-CA,BC,British Columbia,Speed Skating Long Track - Team Pursuit Male,7
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=fa883a28-e506-4dff-90a9-5ed8dd298d42&SetLanguage=en-CA,BC,British Columbia,Biathlon 3 x 7.5 km Relay Male,Bronze
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=cba1d4d7-dbfd-49b3-8e07-6717943a2506&SetLanguage=en-CA,BC,British Columbia,Gymnastics Trampoline - Team Mix,Bronze
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=eaf19e7e-5897-4955-af7a-7d5255edebd6&SetLanguage=en-CA,BC,British Columbia,Gymnastics Artistic - Team Event Male,5
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=174ea9c9-2e02-4a63-b9cb-7788022eb71d&SetLanguage=en-CA,BC,British Columbia,Curling Male,Gold
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=54cbce5d-059a-43fa-9d73-72962927ed1f&SetLanguage=en-CA,BC,British Columbia,Artistic Swimming Team Female,4
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=2ea2a6af-cb46-43d7-924d-7bb9f36c2cb7&SetLanguage=en-CA,BC,British Columbia,Badminton Team Competition Mix,4
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=5099bb88-f33f-4bb7-8867-4adfed1c7fd7&SetLanguage=en-CA,BC,British Columbia,Judo Team Competition Female,Silver
